run,dataset,metric,step,pointmap_loss
dtok16,KITTI,single,46084,0.482664
dtok16,KITTI,single,46646,0.490859
dtok16,KITTI,single,47208,0.501301
dtok16,KITTI,single,47770,0.476184
dtok16,KITTI,single,48332,0.507639
dtok16,KITTI,single,48894,0.491393
dtok16,KITTI,single,49456,0.526616
dtok16,KITTI,single,50018,0.509719
dtok16,KITTI,single,50580,0.498962
dtok16,KITTI,single,51142,0.487190
dtok16,KITTI,single,51704,0.479191
dtok16,KITTI,single,52266,0.486933
dtok16,KITTI,single,52828,0.479704
dtok16,KITTI,single,53390,0.468854
dtok16,KITTI,single,53952,0.485766
dtok16,KITTI,single,54514,0.472571
dtok16,KITTI,single,55076,0.466706
dtok16,KITTI,single,55638,0.511049
dtok16,KITTI,single,56200,0.481158
dtok16,KITTI,single,56762,0.466158
dtok16,KITTI,AR,562,32.502834
dtok16,KITTI,AR,1124,30.754124
dtok16,KITTI,AR,1686,30.478708
dtok16,KITTI,AR,2248,32.825638
dtok16,KITTI,AR,2810,25.455854
dtok16,KITTI,AR,3372,9.304055
dtok16,KITTI,AR,3934,3.878928
dtok16,KITTI,AR,4496,2.680155
dtok16,KITTI,AR,5058,2.010676
dtok16,KITTI,AR,5620,1.873931
dtok16,KITTI,AR,6182,1.483954
dtok16,KITTI,AR,6744,1.333609
dtok16,KITTI,AR,7306,1.272425
dtok16,KITTI,AR,7868,0.981771
dtok16,KITTI,AR,8430,0.987664
dtok16,KITTI,AR,8992,0.920970
dtok16,KITTI,AR,9554,0.998148
dtok16,KITTI,AR,10116,0.921969
dtok16,KITTI,AR,10678,0.836747
dtok16,KITTI,AR,11240,0.871379
dtok16,KITTI,AR,11802,0.822907
dtok16,KITTI,AR,12364,0.860168
dtok16,KITTI,AR,12926,0.751764
dtok16,KITTI,AR,13488,0.715908
dtok16,KITTI,AR,14050,0.822495
dtok16,KITTI,AR,14612,0.746921
dtok16,KITTI,AR,15174,0.689443
dtok16,KITTI,AR,15736,0.747293
dtok16,KITTI,AR,16298,0.673969
dtok16,KITTI,AR,16860,0.674249
dtok16,KITTI,AR,17422,0.636930
dtok16,KITTI,AR,17984,0.652746
dtok16,KITTI,AR,18546,0.696030
dtok16,KITTI,AR,19108,0.614077
dtok16,KITTI,AR,19670,0.794661
dtok16,KITTI,AR,20232,0.700192
dtok16,KITTI,AR,20794,0.692173
dtok16,KITTI,AR,21356,0.644478
dtok16,KITTI,AR,21918,0.599066
dtok16,KITTI,AR,22480,0.620540
dtok16,KITTI,AR,23042,0.601866
dtok16,KITTI,AR,23604,0.565575
dtok16,KITTI,AR,24166,0.621383
dtok16,KITTI,AR,24728,0.570007
dtok16,KITTI,AR,25290,0.579439
dtok16,KITTI,AR,25852,0.547706
dtok16,KITTI,AR,26414,0.610911
dtok16,KITTI,AR,26976,0.567191
dtok16,KITTI,AR,27538,0.572833
dtok16,KITTI,AR,28100,0.544657
dtok16,KITTI,AR,28662,0.560349
dtok16,KITTI,AR,29224,0.598903
dtok16,KITTI,AR,29786,0.573359
dtok16,KITTI,AR,30348,0.536619
dtok16,KITTI,AR,30910,0.563566
dtok16,KITTI,AR,31472,0.604076
dtok16,KITTI,AR,32034,0.566373
dtok16,KITTI,AR,32596,0.587177
dtok16,KITTI,AR,33158,0.527382
dtok16,KITTI,AR,33720,0.557253
dtok16,KITTI,AR,34282,0.547063
dtok16,KITTI,AR,34844,0.589991
dtok16,KITTI,AR,35406,0.546855
dtok16,KITTI,AR,35968,0.577695
dtok16,KITTI,AR,36530,0.541752
dtok16,KITTI,AR,37092,0.576928
dtok16,KITTI,AR,37654,0.545971
dtok16,KITTI,AR,38216,0.585733
dtok16,KITTI,AR,38778,0.539629
dtok16,KITTI,AR,39340,0.527011
dtok16,KITTI,AR,39902,0.532464
dtok16,KITTI,AR,40464,0.504650
dtok16,KITTI,AR,41026,0.602165
dtok16,KITTI,AR,41588,0.559770
dtok16,KITTI,AR,42150,0.516250
dtok16,KITTI,AR,42712,0.552277
dtok16,KITTI,AR,43274,0.556034
dtok16,KITTI,AR,43836,0.514402
dtok16,KITTI,AR,44398,0.520651
dtok16,KITTI,AR,44960,0.519149
dtok16,KITTI,AR,45522,0.520399
dtok16,KITTI,AR,46084,0.500483
dtok16,KITTI,AR,46646,0.510861
dtok16,KITTI,AR,47208,0.519417
dtok16,KITTI,AR,47770,0.500565
dtok16,KITTI,AR,48332,0.548090
dtok16,KITTI,AR,48894,0.518236
dtok16,KITTI,AR,49456,0.541169
dtok16,KITTI,AR,50018,0.548225
dtok16,KITTI,AR,50580,0.534804
dtok16,KITTI,AR,51142,0.503453
dtok16,KITTI,AR,51704,0.508906
dtok16,KITTI,AR,52266,0.508649
dtok16,KITTI,AR,52828,0.518494
dtok16,KITTI,AR,53390,0.482879
dtok16,KITTI,AR,53952,0.498528
dtok16,KITTI,AR,54514,0.506737
dtok16,KITTI,AR,55076,0.500308
dtok16,KITTI,AR,55638,0.558267
dtok16,KITTI,AR,56200,0.502546
dtok16,KITTI,AR,56762,0.500532
dtok16,nuScenes,single,562,4.105519
dtok16,nuScenes,single,1124,3.878034
dtok16,nuScenes,single,1686,4.936737
dtok16,nuScenes,single,2248,4.746738
dtok16,nuScenes,single,2810,3.573747
dtok16,nuScenes,single,3372,3.132887
dtok16,nuScenes,single,3934,2.349034
dtok16,nuScenes,single,4496,2.041999
dtok16,nuScenes,single,5058,1.770529
dtok16,nuScenes,single,5620,1.353558
dtok16,nuScenes,single,6182,1.307889
